Nama,Pendidikan_Encoded,Jabatan_Encoded,Gaji
Citra Gunawan,1,0,7000000.0
Lestari Nasution,1,1,9000000.0
Rina Gunawan,2,3,5000000.0
Rian Siregar,0,0,3500000.0
Rian Sanjaya,1,0,5000000.0
Bella Wijaya,1,0,3500000.0
Citra Gunawan,1,0,3500000.0
Soleh Febriani,0,2,5000000.0
Rian Setiawan,2,1,12000000.0
Tania Nasution,0,1,3500000.0
Oki Setiawan,0,1,15000000.0
Julia Purnama,2,0,15000000.0
Hani Nasution,0,2,15000000.0
Utami Hidayat,2,2,9238095.238095239
Kevin Setiawan,1,3,7000000.0
Maya Santoso,0,3,15000000.0
Hendra Purnama,2,3,9238095.238095239
Indra Utomo,2,2,5000000.0
Julia Saputra,0,3,3500000.0
Utami Wijaya,1,1,15000000.0
Mulyono Febriani,0,3,9238095.238095239
Galih Saputra,2,3,12000000.0
Xena Nasution,0,1,9238095.238095239
Utami Nasution,1,1,9000000.0
Julia Nasution,2,3,9000000.0
Hani Permana,1,0,9238095.238095239
Prasetyo Utomo,1,0,5000000.0
Ferry Saputra,0,2,9000000.0
Julia Gunawan,1,1,9238095.238095239
Hendra Santoso,0,2,5000000.0
Umar Wijaya,1,2,9238095.238095239
Aditya Siregar,0,3,12000000.0
Vino Permana,0,3,15000000.0
Caca Hidayat,2,1,12000000.0
Santi Hidayat,0,1,7000000.0
Galih Kusuma,2,3,5000000.0
Citra Siregar,2,1,15000000.0
Fahmi Santoso,1,3,12000000.0
Yuda Setiawan,2,3,12000000.0
Dedi Hidayat,1,0,15000000.0
Utami Setiawan,0,0,3500000.0
Winda Santoso,2,0,9000000.0
Nanda Gunawan,2,2,15000000.0
Dedi Irwansyah,1,2,15000000.0
Vino Wijaya,0,3,5000000.0
Wawan Saputra,2,2,12000000.0
Maya Hidayat,1,1,15000000.0
Hani Kusuma,2,2,7000000.0
Endah Irwansyah,1,1,5000000.0
Eka Kusuma,2,3,9238095.238095239
